"devMac","devName","devOwner","devType","devVendor","devFavorite","devGroup","devComments","devFirstConnection","devLastConnection","devLastIP","devPrimaryIPv4","devPrimaryIPv6","devVlan","devForceStatus","devStaticIP","devScan","devLogEvents","devAlertEvents","devAlertDown","devSkipRepeated","devLastNotification","devPresentLastScan","devIsNew","devLocation","devIsArchived","devParentMAC","devParentPort","devParentRelType","devIcon","devGUID","devSite","devSSID","devSyncHubNode","devSourcePlugin","devFQDN","devMacSource","devNameSource","devFQDNSource","devLastIPSource","devVendorSource","devSSIDSource","devParentMACSource","devParentPortSource","devParentRelTypeSource","devVlanSource","devCustomProps","devReqNicsOnline","devCanSleep"
"internet","Internet","House","Router","","0","Always on","None","2024-02-10 07:00:00","2026-09-22 20:40:03","0.0.0.0","None","None","None","dont_force","0","1","1","1","0","0","None","1","0","None","0","None","None","default","PGkgY2xhc3M9ImZhIGZhLWdsb2JlIj48L2k+","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a01","","","None","NEWDEV","","NEWDEV","NEWDEV","None","None","None","None","None","None","None","None","None","0","0"
"94:83:c4:1a:2b:3c","GL-MT6000 Router","Tobias","Gateway","GL Technologies (Hong Kong) Limited","1","Always on","Hauptrouter im Flur","2024-02-10 07:00:05","2026-09-22 20:40:03","192.168.8.1","192.168.8.1","None","None","dont_force","1","1","1","1","1","0","None","1","0","Flur","0","internet","None","default","PGkgY2xhc3M9ImZhIGZhLXdpZmkiPjwvaT4=","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a02","","","None","ARPSCAN","console.gl-inet.com","ARPSCAN","USER","None","None","None","None","None","None","None","None","None","0","0"
"b0:be:76:40:11:22","Switch Wohnzimmer","Tobias","Switch","TP-LINK TECHNOLOGIES CO.,LTD.","0","Always on","None","2024-02-10 07:03:41","2026-09-22 20:40:03","192.168.8.2","192.168.8.2","None","None","dont_force","1","1","1","1","0","0","None","1","0","Wohnzimmer","0","94:83:c4:1a:2b:3c","3","default","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a03","","","None","ARPSCAN","","ARPSCAN","USER","None","None","None","None","None","None","None","None","None","0","0"
"60:22:32:8a:0b:1c","UniFi AP OG","Tobias","AP","Ubiquiti Inc","0","Always on","None","2024-02-10 07:03:44","2026-09-22 20:40:03","192.168.8.3","192.168.8.3","None","None","dont_force","1","1","1","1","0","0","None","1","0","Obergeschoss","0","b0:be:76:40:11:22","8","default","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a04","","","None","ARPSCAN","","ARPSCAN","USER","None","None","None","None","None","None","None","None","None","0","0"
"00:11:32:ab:cd:ef","nas","Tobias","NAS","Synology Incorporated","1","Always on","DS920+, RAID 5, Backups","2024-02-10 07:05:12","2026-09-22 20:40:03","192.168.8.5","192.168.8.5","None","None","dont_force","1","1","1","1","1","0","None","1","0","Keller","0","b0:be:76:40:11:22","5","default","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a05","","","None","ARPSCAN","nas.lan","ARPSCAN","NSLOOKUP","None","None","None","None","None","None","None","None","None","0","0"
"a8:a1:59:3c:7e:10","pve1","Tobias","Hypervisor","ASRock Incorporation","0","Always on","None","2024-02-10 07:05:30","2026-09-22 20:40:03","192.168.8.20","192.168.8.20","None","None","dont_force","1","1","1","1","1","0","None","1","0","Keller","0","b0:be:76:40:11:22","1","default","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a06","","","None","ARPSCAN","pve1.lan","ARPSCAN","NSLOOKUP","None","None","None","None","None","None","None","None","None","0","0"
"bc:24:11:2e:c5:6a","docker-host","Tobias","Server","Proxmox Server Solutions GmbH","0","Always on","None","2024-03-02 16:21:09","2026-09-22 20:40:03","192.168.8.30","192.168.8.30","None","None","dont_force","0","1","1","1","0","0","None","1","0","None","0","a8:a1:59:3c:7e:10","None","virtual","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a07","","","None","ARPSCAN","docker-host.lan","ARPSCAN","NSLOOKUP","None","None","None","None","None","None","None","None","None","0","0"
"7c:2e:0d:4a:91:3f","iPhone-von-Anna (IP match)","Anna","Smartphone","Apple, Inc.","0","Personal","None","2026-09-20 15:03:44","2026-09-22 20:35:11","192.168.8.143","192.168.8.143","None","None","dont_force","0","1","1","1","0","0","2026-09-20 15:04:10","1","1","None","0","60:22:32:8a:0b:1c","None","default","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a08","","Heimnetz","None","ARPSCAN","","ARPSCAN","NSLOOKUP","None","None","None","None","None","None","None","None","None","0","1"
"da:a1:19:6e:33:07","(name not found)","(unknown)","","(unknown)","0","None","None","2026-09-22 18:12:57","2026-09-22 20:40:03","192.168.8.188","192.168.8.188","None","None","dont_force","0","1","1","1","0","0","2026-09-22 18:13:30","1","1","None","0","None","None","default","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a09","","","None","ARPSCAN","","ARPSCAN","NEWDEV","None","None","None","None","None","None","None","None","None","0","0"
"f4:7b:09:12:34:56","Wohnzimmer TV","Tobias","SmartTV","LG Innotek","0","Others","None","2024-02-12 19:44:02","2026-09-22 20:10:51","192.168.8.60","192.168.8.60","None","None","dont_force","0","1","1","1","0","0","None","0","0","Wohnzimmer","0","60:22:32:8a:0b:1c","None","default","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a10","","Heimnetz","None","ARPSCAN","","ARPSCAN","USER","None","None","None","None","None","None","None","None","None","0","1"
"30:05:5c:8a:19:b2","Drucker alt","Tobias","Printer","Brother Industries, LTD.","0","Others","Ersetzt durch Laserdrucker (April 2025)","2024-02-11 08:12:00","2025-04-30 16:00:00","192.168.8.40","192.168.8.40","None","None","dont_force","1","1","1","1","0","0","None","0","0","Arbeitszimmer","1","b0:be:76:40:11:22","7","default","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a11","","","None","ARPSCAN","","ARPSCAN","USER","None","None","None","None","None","None","None","None","None","0","0"
"fa:ce:5f:2b:7d:01","Kamera Garage","Tobias","IP Camera","(unknown)","0","Others","Im Kamera-VLAN, per ICMP überwacht","2024-06-01 10:00:00","2026-09-22 20:40:03","192.168.9.20","192.168.9.20","None","None","dont_force","1","1","1","1","1","0","None","1","0","Garage","0","94:83:c4:1a:2b:3c","None","default","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a12","","","None","ICMP","","ICMP","USER","None","None","None","None","None","None","None","None","None","0","0"
"44:17:93:8c:02:1e","ESP-8C021E","(unknown)","Domotic","Espressif Inc.","0","Others","None","2025-01-05 12:30:00","2026-09-22 20:40:03","192.168.8.176","192.168.8.176","None","None","dont_force","0","1","1","1","0","0","None","1","0","None","0","60:22:32:8a:0b:1c","None","default","None","3f2c9a1e-7b44-4d61-9e0a-5c8b2d7f1a13","","Heimnetz","None","ARPSCAN","","ARPSCAN","NSLOOKUP","None","None","None","None","None","None","None","None","None","0","0"
