# ieee-oui.txt -- IEEE Ethernet OUI-Vendor mapping file for arp-scan
#
# This file contains the IEEE Ethernet MAC address registry entries that are
# used to determine the Ethernet vendor for a given MAC address.
#
# Each line of this file contains an OUI-vendor mapping in the form:
#
# <MAC-Prefix><TAB><Vendor>
#
# Where <MAC-Prefix> is the prefix of the MAC address in hex, and <Vendor>
# is the name of the vendor.  The prefix can be of any length from two hex
# digits (one octet) to twelve hex digits (six octets, the entire Ethernet
# hardware address).
#
# The order of entries in this file are not important.
#
# arp-scan will attempt to match larger prefixes before trying to match
# smaller ones, and will stop at the first match.
#
# Blank lines and lines beginning with "#" are ignored.
#
# This file was automatically generated by get-oui at 2022-12-10 18:06:56
#
# Do not edit this file.  If you want to add additional MAC-Vendor mappings,
# edit the file mac-vendor.txt instead.
#

#
# Start of IEEE IAB registry data
#
DCA632	Raspberry Pi Trading Ltd
54E019	Ring LLC
5C415A	Amazon.com, LLC
70B3D5	IEEE Registration Authority
741AE0	IEEE Registration Authority
B009DA	Ring Solutions
0050C2	IEEE Registration Authority
001122	CIMSYS Inc
74ECB2	Amazon Technologies Inc.
ECB5FA	Philips Lighting BV
343EA4	Ring LLC
9C9C1F	Espressif Inc.
DC15C8	AVM Audiovisuelles Marketing und Computersysteme GmbH
8C1F64	IEEE Registration Authority
AC15A2	TP-Link Corporation Limited
9483C4	GL Technologies (Hong Kong) Limited
C89E43	NETGEAR
A8A159	ASRock Incorporation
D4910F	Amazon Technologies Inc.
244CAB	Espressif Inc.
0050C27D5	DEUTA-WERKE GmbH
0050C2DC7	AGT Holdings Limited
70B3D5F2F	TELEPLATFORMS
