Registry,Assignment,Organization Name,Organization Address
MA-L,DCA632,Raspberry Pi Trading Ltd,"Maurice Wilkes Building, Cowley Road Cambridge  GB CB4 0DS "
MA-L,54E019,Ring LLC,1523 26th St Santa Monica CA US 90404 
MA-L,5C415A,"Amazon.com, LLC","1200 12th Ave. South, Suite 1200 Seattle  US 98144 "
MA-L,70B3D5,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
MA-L,74ECB2,Amazon Technologies Inc.,P.O Box 8102  Reno NV US 89507 
MA-L,741AE0,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
MA-L,B009DA,Ring Solutions,"1200 Atwater Drive, Suite 225 Malvern PA US 19355 "
MA-L,0050C2,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
MA-L,001122,CIMSYS Inc,"#301,Sinsung-clean BLDG,140, Nongseo-Ri,Kiheung-Eup Yongin-City Kyunggi-Do KR 449-711 "
MA-L,8C1F64,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
MA-L,343EA4,Ring LLC,1523 26th St Santa Monica CA US 90404 
MA-L,ECB5FA,Philips Lighting BV,High Tech Campus 45 Eindhoven Noord Brabant NL 5656 AE 
MA-L,AC15A2,TP-Link Systems Inc,5 Peters Canyon Rd Suit 300 Irvine CA HK 92606 
MA-L,DC15C8,AVM Audiovisuelles Marketing und Computersysteme GmbH,Alt-Moabit 95  Berlin Berlin DE 10559 
MA-L,9C9C1F,Espressif Inc.,"Vistra Corporate Services Centre, Wickhams Cay II Road Town Tortola VG VG1110 "
MA-L,BC2411,Proxmox Server Solutions GmbH,Braeuhausgasse 37 Vienna Vienna AT 1050 
MA-L,C89E43,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,9483C4,GL Technologies (Hong Kong) Limited,"103B Enterprise Place, 5W Science Park NT  HK 00000 "
MA-L,BC2A33,"Quectel Wireless Solutions Co.,Ltd.","7th Floor, Hongye Building, No.1801 Hongmei Road, Xuhui District Shanghai  CN 200233 "
MA-L,C85CE2,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
MA-L,244CAB,Espressif Inc.,"Room 204, Building 2, 690 Bibo Rd, Pudong New Area Shanghai Shanghai CN 201203 "
MA-L,D4910F,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
MA-L,A8A159,ASRock Incorporation,"2F., No. 37, Sec. 2, Jhongyang S. Rd., Beitou District, Taipei  TW 112 "
MA-L,70AF09,Espressif Inc.,"Room 204, Building 2, 690 Bibo Rd, Pudong New Area Shanghai Shanghai CN 201203 "
MA-L,782288,SHENZHEN BILIAN ELECTRONIC CO.，LTD,"Room 501, Building 3, No.32 Dafu Road, Zhangge Community, Fucheng Subdistrict, Longhua District, Shenzhen City Guangdong Province CN 518000 "
MA-L,E4F14C,Private,
MA-L,388A21,"UAB ""Teltonika Telematics""",Saltoniskiu  str. 9B-1 Vilnius  LT LT-08105 
